"date","value","group","region","type"
"2020-12-27",42,"20-29","lombardia","first_dose"
"2020-12-27",64,"30-39","lombardia","first_dose"
"2020-12-27",141,"40-49","lombardia","first_dose"
"2020-12-27",234,"50-59","lombardia","first_dose"
"2020-12-27",201,"60-69","lombardia","first_dose"
"2020-12-27",23,"70-79","lombardia","first_dose"
"2020-12-27",10,"80-89","lombardia","first_dose"
"2020-12-27",2,"over90","lombardia","first_dose"
"2020-12-27",0,"10-19","lombardia","first_dose"
"2020-12-28",7,"20-29","lombardia","first_dose"
"2020-12-28",20,"30-39","lombardia","first_dose"
"2020-12-28",29,"40-49","lombardia","first_dose"
"2020-12-28",38,"50-59","lombardia","first_dose"
"2020-12-28",14,"60-69","lombardia","first_dose"
"2020-12-28",0,"70-79","lombardia","first_dose"
"2020-12-28",0,"80-89","lombardia","first_dose"
"2020-12-28",0,"over90","lombardia","first_dose"
"2020-12-28",0,"10-19","lombardia","first_dose"
"2020-12-29",11,"20-29","lombardia","first_dose"
"2020-12-29",31,"30-39","lombardia","first_dose"
"2020-12-29",28,"40-49","lombardia","first_dose"
"2020-12-29",25,"50-59","lombardia","first_dose"
"2020-12-29",12,"60-69","lombardia","first_dose"
"2020-12-29",0,"70-79","lombardia","first_dose"
"2020-12-29",0,"80-89","lombardia","first_dose"
"2020-12-29",0,"over90","lombardia","first_dose"
"2020-12-29",0,"10-19","lombardia","first_dose"
"2020-12-30",12,"20-29","lombardia","first_dose"
"2020-12-30",36,"30-39","lombardia","first_dose"
"2020-12-30",26,"40-49","lombardia","first_dose"
"2020-12-30",34,"50-59","lombardia","first_dose"
"2020-12-30",6,"60-69","lombardia","first_dose"
"2020-12-30",1,"70-79","lombardia","first_dose"
"2020-12-30",0,"80-89","lombardia","first_dose"
"2020-12-30",0,"over90","lombardia","first_dose"
"2020-12-30",0,"10-19","lombardia","first_dose"
"2020-12-31",59,"20-29","lombardia","first_dose"
"2020-12-31",160,"30-39","lombardia","first_dose"
"2020-12-31",158,"40-49","lombardia","first_dose"
"2020-12-31",249,"50-59","lombardia","first_dose"
"2020-12-31",88,"60-69","lombardia","first_dose"
"2020-12-31",1,"70-79","lombardia","first_dose"
"2020-12-31",0,"80-89","lombardia","first_dose"
"2020-12-31",0,"over90","lombardia","first_dose"
"2020-12-31",0,"10-19","lombardia","first_dose"
"2021-01-01",1,"20-29","lombardia","first_dose"
"2021-01-01",6,"30-39","lombardia","first_dose"
"2021-01-01",6,"40-49","lombardia","first_dose"
"2021-01-01",8,"50-59","lombardia","first_dose"
"2021-01-01",2,"60-69","lombardia","first_dose"
"2021-01-01",1,"70-79","lombardia","first_dose"
"2021-01-01",0,"80-89","lombardia","first_dose"
"2021-01-01",0,"over90","lombardia","first_dose"
"2021-01-01",0,"10-19","lombardia","first_dose"
"2021-01-02",28,"20-29","lombardia","first_dose"
"2021-01-02",42,"30-39","lombardia","first_dose"
"2021-01-02",55,"40-49","lombardia","first_dose"
"2021-01-02",52,"50-59","lombardia","first_dose"
"2021-01-02",23,"60-69","lombardia","first_dose"
"2021-01-02",1,"70-79","lombardia","first_dose"
"2021-01-02",0,"80-89","lombardia","first_dose"
"2021-01-02",0,"over90","lombardia","first_dose"
"2021-01-02",1,"10-19","lombardia","first_dose"
"2021-01-03",89,"20-29","lombardia","first_dose"
"2021-01-03",159,"30-39","lombardia","first_dose"
"2021-01-03",181,"40-49","lombardia","first_dose"
"2021-01-03",280,"50-59","lombardia","first_dose"
"2021-01-03",133,"60-69","lombardia","first_dose"
"2021-01-03",9,"70-79","lombardia","first_dose"
"2021-01-03",2,"80-89","lombardia","first_dose"
"2021-01-03",3,"over90","lombardia","first_dose"
"2021-01-03",0,"10-19","lombardia","first_dose"
"2021-01-04",499,"20-29","lombardia","first_dose"
"2021-01-04",1173,"30-39","lombardia","first_dose"
"2021-01-04",1450,"40-49","lombardia","first_dose"
"2021-01-04",1975,"50-59","lombardia","first_dose"
"2021-01-04",824,"60-69","lombardia","first_dose"
"2021-01-04",62,"70-79","lombardia","first_dose"
"2021-01-04",79,"80-89","lombardia","first_dose"
"2021-01-04",71,"over90","lombardia","first_dose"
"2021-01-04",0,"10-19","lombardia","first_dose"
"2021-01-05",687,"20-29","lombardia","first_dose"
"2021-01-05",1549,"30-39","lombardia","first_dose"
"2021-01-05",1863,"40-49","lombardia","first_dose"
"2021-01-05",2552,"50-59","lombardia","first_dose"
"2021-01-05",1011,"60-69","lombardia","first_dose"
"2021-01-05",52,"70-79","lombardia","first_dose"
"2021-01-05",81,"80-89","lombardia","first_dose"
"2021-01-05",76,"over90","lombardia","first_dose"
"2021-01-05",1,"10-19","lombardia","first_dose"
"2021-01-06",814,"20-29","lombardia","first_dose"
"2021-01-06",1536,"30-39","lombardia","first_dose"
"2021-01-06",1550,"40-49","lombardia","first_dose"
"2021-01-06",2157,"50-59","lombardia","first_dose"
"2021-01-06",1012,"60-69","lombardia","first_dose"
"2021-01-06",73,"70-79","lombardia","first_dose"
"2021-01-06",15,"80-89","lombardia","first_dose"
"2021-01-06",8,"over90","lombardia","first_dose"
"2021-01-06",1,"10-19","lombardia","first_dose"
"2021-01-07",1023,"20-29","lombardia","first_dose"
"2021-01-07",2095,"30-39","lombardia","first_dose"
"2021-01-07",2616,"40-49","lombardia","first_dose"
"2021-01-07",3655,"50-59","lombardia","first_dose"
"2021-01-07",1509,"60-69","lombardia","first_dose"
"2021-01-07",204,"70-79","lombardia","first_dose"
"2021-01-07",324,"80-89","lombardia","first_dose"
"2021-01-07",345,"over90","lombardia","first_dose"
"2021-01-07",3,"10-19","lombardia","first_dose"
"2021-01-08",1217,"20-29","lombardia","first_dose"
"2021-01-08",2270,"30-39","lombardia","first_dose"
"2021-01-08",2867,"40-49","lombardia","first_dose"
"2021-01-08",4179,"50-59","lombardia","first_dose"
"2021-01-08",1737,"60-69","lombardia","first_dose"
"2021-01-08",193,"70-79","lombardia","first_dose"
"2021-01-08",156,"80-89","lombardia","first_dose"
"2021-01-08",125,"over90","lombardia","first_dose"
"2021-01-08",2,"10-19","lombardia","first_dose"
"2021-01-09",1418,"20-29","lombardia","first_dose"
"2021-01-09",2171,"30-39","lombardia","first_dose"
"2021-01-09",2586,"40-49","lombardia","first_dose"
"2021-01-09",3730,"50-59","lombardia","first_dose"
"2021-01-09",2153,"60-69","lombardia","first_dose"
"2021-01-09",263,"70-79","lombardia","first_dose"
"2021-01-09",109,"80-89","lombardia","first_dose"
"2021-01-09",70,"over90","lombardia","first_dose"
"2021-01-09",7,"10-19","lombardia","first_dose"
"2021-01-10",1384,"20-29","lombardia","first_dose"
"2021-01-10",1746,"30-39","lombardia","first_dose"
"2021-01-10",2135,"40-49","lombardia","first_dose"
"2021-01-10",2964,"50-59","lombardia","first_dose"
"2021-01-10",1906,"60-69","lombardia","first_dose"
"2021-01-10",296,"70-79","lombardia","first_dose"
"2021-01-10",51,"80-89","lombardia","first_dose"
"2021-01-10",39,"over90","lombardia","first_dose"
"2021-01-10",25,"10-19","lombardia","first_dose"
"2021-01-11",1801,"20-29","lombardia","first_dose"
"2021-01-11",2659,"30-39","lombardia","first_dose"
"2021-01-11",3521,"40-49","lombardia","first_dose"
"2021-01-11",5105,"50-59","lombardia","first_dose"
"2021-01-11",2070,"60-69","lombardia","first_dose"
"2021-01-11",397,"70-79","lombardia","first_dose"
"2021-01-11",394,"80-89","lombardia","first_dose"
"2021-01-11",351,"over90","lombardia","first_dose"
"2021-01-11",12,"10-19","lombardia","first_dose"
"2021-01-12",2039,"20-29","lombardia","first_dose"
"2021-01-12",3155,"30-39","lombardia","first_dose"
"2021-01-12",4241,"40-49","lombardia","first_dose"
"2021-01-12",5961,"50-59","lombardia","first_dose"
"2021-01-12",2633,"60-69","lombardia","first_dose"
"2021-01-12",663,"70-79","lombardia","first_dose"
"2021-01-12",847,"80-89","lombardia","first_dose"
"2021-01-12",760,"over90","lombardia","first_dose"
"2021-01-12",16,"10-19","lombardia","first_dose"
"2021-01-13",2755,"20-29","lombardia","first_dose"
"2021-01-13",3574,"30-39","lombardia","first_dose"
"2021-01-13",5102,"40-49","lombardia","first_dose"
"2021-01-13",7115,"50-59","lombardia","first_dose"
"2021-01-13",3099,"60-69","lombardia","first_dose"
"2021-01-13",1034,"70-79","lombardia","first_dose"
"2021-01-13",1933,"80-89","lombardia","first_dose"
"2021-01-13",1821,"over90","lombardia","first_dose"
"2021-01-13",26,"10-19","lombardia","first_dose"
"2021-01-14",2591,"20-29","lombardia","first_dose"
"2021-01-14",3527,"30-39","lombardia","first_dose"
"2021-01-14",5043,"40-49","lombardia","first_dose"
"2021-01-14",6801,"50-59","lombardia","first_dose"
"2021-01-14",2977,"60-69","lombardia","first_dose"
"2021-01-14",1184,"70-79","lombardia","first_dose"
"2021-01-14",2494,"80-89","lombardia","first_dose"
"2021-01-14",2281,"over90","lombardia","first_dose"
"2021-01-14",31,"10-19","lombardia","first_dose"
