"region","group","value"
"italia","0-9",4755249
"italia","10-19",5676414
"italia","20-29",6036335
"italia","30-39",6774673
"italia","40-49",8709757
"italia","50-59",9455166
"italia","60-69",7433271
"italia","70-79",5953646
"italia","80-89",3658129
"italia","over90",804926
"italia","total",59257566
"piemonte","0-9",322894
"piemonte","10-19",383326
"piemonte","20-29",406160
"piemonte","30-39",455336
"piemonte","40-49",612438
"piemonte","50-59",690893
"piemonte","60-69",559425
"piemonte","70-79",472202
"piemonte","80-89",305941
"piemonte","over90",64595
"piemonte","total",4273210
"valledaosta","0-9",8664
"valledaosta","10-19",10738
"valledaosta","20-29",12060
"valledaosta","30-39",11674
"valledaosta","40-49",12014
"valledaosta","50-59",11744
"valledaosta","60-69",12568
"valledaosta","70-79",13472
"valledaosta","80-89",15958
"valledaosta","over90",21796
"valledaosta","total",2060
"liguria","0-9",101871
"liguria","10-19",126298
"liguria","20-29",136234
"liguria","30-39",147623
"liguria","40-49",203765
"liguria","50-59",253129
"liguria","60-69",203581
"liguria","70-79",181991
"liguria","80-89",125113
"liguria","over90",30200
"liguria","total",1509805
"lombardia","0-9",830683
"lombardia","10-19",965343
"lombardia","20-29",988719
"lombardia","30-39",1154807
"lombardia","40-49",1502735
"lombardia","50-59",1603668
"lombardia","60-69",1197314
"lombardia","70-79",984687
"lombardia","80-89",612524
"lombardia","over90",126512
"lombardia","total",9966992
"pabolzano","0-9",54628
"pabolzano","10-19",57171
"pabolzano","20-29",61055
"pabolzano","30-39",63189
"pabolzano","40-49",74201
"pabolzano","50-59",84649
"pabolzano","60-69",58816
"pabolzano","70-79",46336
"pabolzano","80-89",27492
"pabolzano","over90",6178
"pabolzano","total",533715
"patrento","0-9",47872
"patrento","10-19",55756
"patrento","20-29",58042
"patrento","30-39",61029
"patrento","40-49",76538
"patrento","50-59",86242
"patrento","60-69",68079
"patrento","70-79",52770
"patrento","80-89",30687
"patrento","over90",7730
"patrento","total",544745
"veneto","0-9",387222
"veneto","10-19",466307
"veneto","20-29",481738
"veneto","30-39",527235
"veneto","40-49",717637
"veneto","50-59",804668
"veneto","60-69",609955
"veneto","70-79",494254
"veneto","80-89",297636
"veneto","over90",65801
"veneto","total",4852453
"friuliveneziagiulia","0-9",87166
"friuliveneziagiulia","10-19",105774
"friuliveneziagiulia","20-29",109651
"friuliveneziagiulia","30-39",124141
"friuliveneziagiulia","40-49",172675
"friuliveneziagiulia","50-59",197733
"friuliveneziagiulia","60-69",156331
"friuliveneziagiulia","70-79",139931
"friuliveneziagiulia","80-89",85217
"friuliveneziagiulia","over90",20134
"friuliveneziagiulia","total",1198753
"emiliaromagna","0-9",356361
"emiliaromagna","10-19",410836
"emiliaromagna","20-29",423452
"emiliaromagna","30-39",498540
"emiliaromagna","40-49",674738
"emiliaromagna","50-59",711169
"emiliaromagna","60-69",548027
"emiliaromagna","70-79",453002
"emiliaromagna","80-89",297917
"emiliaromagna","over90",71507
"emiliaromagna","total",4445549
"toscana","0-9",273736
"toscana","10-19",331110
"toscana","20-29",337870
"toscana","30-39",397221
"toscana","40-49",541512
"toscana","50-59",590653
"toscana","60-69",467096
"toscana","70-79",405080
"toscana","80-89",262119
"toscana","over90",61936
"toscana","total",3668333
"umbria","0-9",64526
"umbria","10-19",78530
"umbria","20-29",80749
"umbria","30-39",95608
"umbria","40-49",124954
"umbria","50-59",135416
"umbria","60-69",111710
"umbria","70-79",94610
"umbria","80-89",63442
"umbria","over90",15468
"umbria","total",865013
"marche","0-9",114290
"marche","10-19",137554
"marche","20-29",145566
"marche","30-39",163447
"marche","40-49",219233
"marche","50-59",236924
"marche","60-69",194747
"marche","70-79",155967
"marche","80-89",108047
"marche","over90",25631
"marche","total",1501406
